customer_id,FullName,Segment,City,State,Country
1,Cally           Holloway      , Consumer        , Caguas              , PR            , Puerto Rico     
2,Irene           Luna          , Consumer        , Caguas              , PR            , Puerto Rico     
3,Gillian         Maldonado     , Consumer        , San Jose            , CA            , EE. UU.         
4,Tana            Tate          , Home Office     , Los Angeles         , CA            , EE. UU.         
5,Orli            Hendricks     , Corporate       , Caguas              , PR            , Puerto Rico     
6,Kimberly        Flowers       , Consumer        , Tonawanda           , NY            , EE. UU.         
7,Constance       Terrell       , Home Office     , Caguas              , PR            , Puerto Rico     
8,Erica           Stevens       , Corporate       , Miami               , FL            , EE. UU.         
9,Nichole         Olsen         , Corporate       , Caguas              , PR            , Puerto Rico     
10,Oprah           Delacruz      , Corporate       , San Ramon           , CA            , EE. UU.         
11,Germane         Short         , Corporate       , Caguas              , PR            , Puerto Rico     
12,Freya           Robbins       , Consumer        , Freeport            , NY            , EE. UU.         
13,Cassandra       Jensen        , Corporate       , Salinas             , CA            , EE. UU.         
14,Natalie         Mcfadden      , Corporate       , Caguas              , PR            , Puerto Rico     
15,Kimberley       Sharpe        , Corporate       , Peabody             , MA            , EE. UU.         
16,Sade            Lancaster     , Corporate       , Caguas              , PR            , Puerto Rico     
17,Brynne          Giles         , Corporate       , Canovanas           , PR            , Puerto Rico     
18,Ciara           Bird          , Corporate       , Paramount           , CA            , EE. UU.         
19,Bo              Griffin       , Consumer        , Caguas              , PR            , Puerto Rico     
20,Kim             Simon         , Consumer        , Mount Prospect      , IL            , EE. UU.         
21,Kellie          Farmer        , Corporate       , Long Beach          , CA            , EE. UU.         
22,Alma            Conley        , Corporate       , Caguas              , PR            , Puerto Rico     
23,Yeo             Bird          , Corporate       , Rancho Cordova      , CA            , EE. UU.         
24,Lucy            Mcknight      , Corporate       , Caguas              , PR            , Puerto Rico     
25,Simone          Vance         , Corporate       , Billings            , MT            , EE. UU.         
26,Roary           Wheeler       , Corporate       , Caguas              , PR            , Puerto Rico     
27,Quail           Ashley        , Consumer        , Wilkes Barre        , PA            , EE. UU.         
28,Hannah          Velez         , Corporate       , Caguas              , PR            , Puerto Rico     
29,Evelyn          Kelly         , Corporate       , Roseville           , MI            , EE. UU.         
30,Jael            Mcfarland     , Consumer        , Bellflower          , CA            , EE. UU.         
31,Teagan          Romero        , Consumer        , Caguas              , PR            , Puerto Rico     
32,Joan            Wilder        , Consumer        , Wheaton             , IL            , EE. UU.         
